pick_up_zone,drop_off_zone,weight
4.0,4.0,2342
4.0,12.0,30
4.0,13.0,308
4.0,24.0,89
4.0,41.0,130
4.0,42.0,118
4.0,43.0,140
4.0,45.0,358
4.0,48.0,960
4.0,50.0,360
4.0,68.0,1309
4.0,74.0,257
4.0,75.0,364
4.0,79.0,5024
4.0,87.0,950
4.0,88.0,380
4.0,90.0,1300
4.0,100.0,698
4.0,107.0,3133
4.0,113.0,2170
4.0,114.0,2149
4.0,116.0,75
4.0,120.0,11
4.0,125.0,811
4.0,127.0,31
4.0,128.0,5
4.0,137.0,1355
4.0,140.0,545
4.0,141.0,723
4.0,142.0,510
4.0,143.0,157
4.0,144.0,1918
4.0,148.0,3067
4.0,151.0,174
4.0,152.0,49
4.0,158.0,909
4.0,161.0,948
4.0,162.0,770
4.0,163.0,374
4.0,164.0,1158
4.0,166.0,180
4.0,170.0,1573
4.0,186.0,836
4.0,209.0,301
4.0,211.0,1297
4.0,224.0,953
4.0,229.0,652
4.0,230.0,551
4.0,231.0,1413
4.0,232.0,1211
4.0,233.0,890
4.0,234.0,2467
4.0,236.0,412
4.0,237.0,558
4.0,238.0,305
4.0,239.0,404
4.0,243.0,71
4.0,244.0,100
4.0,246.0,761
4.0,249.0,2347
4.0,261.0,321
4.0,262.0,392
4.0,263.0,471
12.0,4.0,36
12.0,12.0,19
12.0,13.0,272
12.0,24.0,3
12.0,41.0,6
12.0,42.0,14
12.0,43.0,41
12.0,45.0,70
12.0,48.0,130
12.0,50.0,36
12.0,68.0,133
12.0,74.0,1
12.0,75.0,5
12.0,79.0,87
12.0,87.0,173
12.0,88.0,33
12.0,90.0,32
12.0,100.0,87
12.0,107.0,56
12.0,113.0,43
12.0,114.0,41
12.0,116.0,1
12.0,125.0,32
12.0,127.0,1
12.0,128.0,1
12.0,137.0,33
12.0,140.0,22
12.0,141.0,26
12.0,142.0,45
12.0,143.0,8
12.0,144.0,94
12.0,148.0,69
12.0,151.0,17
12.0,152.0,1
12.0,158.0,76
12.0,161.0,163
12.0,162.0,93
12.0,163.0,79
12.0,164.0,133
12.0,166.0,5
12.0,170.0,89
12.0,186.0,42
12.0,209.0,54
12.0,211.0,103
12.0,224.0,11
12.0,229.0,46
12.0,230.0,175
12.0,231.0,281
12.0,232.0,31
12.0,233.0,62
12.0,234.0,75
12.0,236.0,15
12.0,237.0,52
12.0,238.0,21
12.0,239.0,28
12.0,243.0,2
12.0,244.0,3
12.0,246.0,150
12.0,249.0,69
12.0,261.0,143
12.0,262.0,8
12.0,263.0,13
13.0,4.0,379
13.0,12.0,318
13.0,13.0,3186
13.0,24.0,37
13.0,41.0,69
13.0,42.0,52
13.0,43.0,530
13.0,45.0,753
13.0,48.0,2340
13.0,50.0,897
13.0,68.0,3709
13.0,74.0,49
13.0,75.0,242
13.0,79.0,1909
13.0,87.0,3580
13.0,88.0,1911
13.0,90.0,1613
13.0,100.0,1829
13.0,107.0,1871
13.0,113.0,1962
13.0,114.0,1641
13.0,116.0,24
13.0,120.0,3
13.0,125.0,1620
13.0,127.0,32
13.0,128.0,7
13.0,137.0,1076
13.0,140.0,829
13.0,141.0,896
13.0,142.0,1317
13.0,143.0,489
13.0,144.0,1576
13.0,148.0,1010
13.0,151.0,177
13.0,152.0,29
13.0,158.0,2677
13.0,161.0,3983
13.0,162.0,2513
13.0,163.0,1514
13.0,164.0,1861
13.0,166.0,209
13.0,170.0,2651
13.0,186.0,848
13.0,209.0,553
13.0,211.0,2458
13.0,224.0,394
13.0,229.0,894
13.0,230.0,2507
13.0,231.0,8424
13.0,232.0,620
13.0,233.0,1578
13.0,234.0,3375
13.0,236.0,736
13.0,237.0,1263
13.0,238.0,473
13.0,239.0,816
13.0,243.0,45
13.0,244.0,67
13.0,246.0,2657
13.0,249.0,2987
13.0,261.0,1889
13.0,262.0,420
13.0,263.0,376
24.0,4.0,74
24.0,12.0,3
24.0,13.0,66
24.0,24.0,680
24.0,41.0,1113
24.0,42.0,550
24.0,43.0,988
24.0,45.0,15
24.0,48.0,885
24.0,50.0,282
24.0,68.0,466
24.0,74.0,864
24.0,75.0,804
24.0,79.0,233
24.0,87.0,60
24.0,88.0,16
24.0,90.0,202
24.0,100.0,224
24.0,107.0,250
24.0,113.0,130
24.0,114.0,98
24.0,116.0,465
24.0,120.0,20
24.0,125.0,48
24.0,127.0,105
24.0,128.0,19
24.0,137.0,138
24.0,140.0,358
24.0,141.0,430
24.0,142.0,2144
24.0,143.0,797
24.0,144.0,88
24.0,148.0,96
24.0,151.0,1410
24.0,152.0,487
24.0,158.0,144
24.0,161.0,650
24.0,162.0,499
24.0,163.0,545
24.0,164.0,278
24.0,166.0,2258
24.0,170.0,191
24.0,186.0,210
24.0,209.0,11
24.0,211.0,67
24.0,224.0,44
24.0,229.0,193
24.0,230.0,541
24.0,231.0,129
24.0,232.0,44
24.0,233.0,122
24.0,234.0,290
24.0,236.0,1084
24.0,237.0,774
24.0,238.0,3531
24.0,239.0,3026
24.0,243.0,190
24.0,244.0,594
24.0,246.0,305
24.0,249.0,242
24.0,261.0,40
24.0,262.0,307
24.0,263.0,482
41.0,4.0,81
41.0,12.0,4
41.0,13.0,63
41.0,24.0,941
41.0,41.0,4310
41.0,42.0,1460
41.0,43.0,983
41.0,45.0,23
41.0,48.0,747
41.0,50.0,218
41.0,68.0,441
41.0,74.0,2275
41.0,75.0,1782
41.0,79.0,236
41.0,87.0,60
41.0,88.0,25
41.0,90.0,143
41.0,100.0,238
41.0,107.0,227
41.0,113.0,120
41.0,114.0,110
41.0,116.0,558
41.0,120.0,35
41.0,125.0,52
41.0,127.0,84
41.0,128.0,12
41.0,137.0,193
41.0,140.0,368
41.0,141.0,505
41.0,142.0,1111
41.0,143.0,345
41.0,144.0,84
41.0,148.0,125
41.0,151.0,1601
41.0,152.0,681
41.0,158.0,143
41.0,161.0,737
41.0,162.0,388
41.0,163.0,489
41.0,164.0,305
41.0,166.0,2760
41.0,170.0,278
41.0,186.0,195
41.0,209.0,20
41.0,211.0,77
41.0,224.0,50
41.0,229.0,235
41.0,230.0,484
41.0,231.0,145
41.0,232.0,64
41.0,233.0,207
41.0,234.0,326
41.0,236.0,1029
41.0,237.0,659
41.0,238.0,1615
41.0,239.0,1330
41.0,243.0,184
41.0,244.0,407
41.0,246.0,280
41.0,249.0,198
41.0,261.0,36
41.0,262.0,297
41.0,263.0,599
42.0,4.0,22
42.0,13.0,11
42.0,24.0,105
42.0,41.0,1457
42.0,42.0,2541
42.0,43.0,248
42.0,45.0,11
42.0,48.0,137
42.0,50.0,69
42.0,68.0,110
42.0,74.0,1213
42.0,75.0,505
42.0,79.0,70
42.0,87.0,18
42.0,88.0,20
42.0,90.0,43
42.0,100.0,62
42.0,107.0,50
42.0,113.0,27
42.0,114.0,38
42.0,116.0,389
42.0,120.0,55
42.0,125.0,18
42.0,127.0,50
42.0,128.0,3
42.0,137.0,86
42.0,140.0,112
42.0,141.0,110
42.0,142.0,215
42.0,143.0,60
42.0,144.0,22
42.0,148.0,39
42.0,151.0,192
42.0,152.0,404
42.0,158.0,27
42.0,161.0,193
42.0,162.0,97
42.0,163.0,138
42.0,164.0,80
42.0,166.0,442
42.0,170.0,70
42.0,186.0,52
42.0,209.0,4
42.0,211.0,17
42.0,224.0,10
42.0,229.0,49
42.0,230.0,101
42.0,231.0,40
42.0,232.0,35
42.0,233.0,46
42.0,234.0,71
42.0,236.0,202
42.0,237.0,171
42.0,238.0,244
42.0,239.0,195
42.0,243.0,63
42.0,244.0,206
42.0,246.0,74
42.0,249.0,37
42.0,261.0,9
42.0,262.0,87
42.0,263.0,119
43.0,4.0,216
43.0,12.0,55
43.0,13.0,770
43.0,24.0,764
43.0,41.0,933
43.0,42.0,452
43.0,43.0,13264
43.0,45.0,146
43.0,48.0,4920
43.0,50.0,1201
43.0,68.0,2644
43.0,74.0,943
43.0,75.0,2065
43.0,79.0,1515
43.0,87.0,550
43.0,88.0,287
43.0,90.0,1676
43.0,100.0,4234
43.0,107.0,2204
43.0,113.0,1843
43.0,114.0,1106
43.0,116.0,175
43.0,120.0,12
43.0,125.0,585
43.0,127.0,61
43.0,128.0,22
43.0,137.0,1005
43.0,140.0,3237
43.0,141.0,6163
43.0,142.0,12886
43.0,143.0,3065
43.0,144.0,1002
43.0,148.0,503
43.0,151.0,2529
43.0,152.0,182
43.0,158.0,1252
43.0,161.0,14940
43.0,162.0,6049
43.0,163.0,6333
43.0,164.0,4595
43.0,166.0,1888
43.0,170.0,3778
43.0,186.0,3639
43.0,209.0,155
43.0,211.0,1163
43.0,224.0,284
43.0,229.0,2948
43.0,230.0,7192
43.0,231.0,1580
43.0,232.0,240
43.0,233.0,1943
43.0,234.0,3981
43.0,236.0,11838
43.0,237.0,12999
43.0,238.0,6997
43.0,239.0,9120
43.0,243.0,183
43.0,244.0,391
43.0,246.0,2235
43.0,249.0,2079
43.0,261.0,427
43.0,262.0,2858
43.0,263.0,3784
45.0,4.0,473
45.0,12.0,41
45.0,13.0,562
45.0,24.0,20
45.0,41.0,56
45.0,42.0,39
45.0,43.0,96
45.0,45.0,1278
45.0,48.0,479
45.0,50.0,114
45.0,68.0,485
45.0,74.0,92
45.0,75.0,121
45.0,79.0,1477
45.0,87.0,1043
45.0,88.0,410
45.0,90.0,370
45.0,100.0,407
45.0,107.0,734
45.0,113.0,543
45.0,114.0,546
45.0,116.0,30
45.0,120.0,4
45.0,125.0,315
45.0,127.0,16
45.0,128.0,1
45.0,137.0,380
45.0,140.0,192
45.0,141.0,202
45.0,142.0,210
45.0,143.0,83
45.0,144.0,829
45.0,148.0,964
45.0,151.0,50
45.0,152.0,13
45.0,158.0,343
45.0,161.0,666
45.0,162.0,397
45.0,163.0,199
45.0,164.0,583
45.0,166.0,61
45.0,170.0,682
45.0,186.0,447
45.0,209.0,359
45.0,211.0,406
45.0,224.0,154
45.0,229.0,209
45.0,230.0,494
45.0,231.0,1469
45.0,232.0,856
45.0,233.0,384
45.0,234.0,575
45.0,236.0,171
45.0,237.0,228
45.0,238.0,101
45.0,239.0,120
45.0,243.0,23
45.0,244.0,34
45.0,246.0,328
45.0,249.0,600
45.0,261.0,646
45.0,262.0,138
45.0,263.0,126
48.0,4.0,1542
48.0,12.0,137
48.0,13.0,3045
48.0,24.0,1404
48.0,41.0,2202
48.0,42.0,1717
48.0,43.0,7061
48.0,45.0,566
48.0,48.0,30745
48.0,50.0,11650
48.0,68.0,24849
48.0,74.0,1632
48.0,75.0,3012
48.0,79.0,8323
48.0,87.0,2458
48.0,88.0,807
48.0,90.0,9656
48.0,100.0,12164
48.0,107.0,8361
48.0,113.0,4614
48.0,114.0,4079
48.0,116.0,1510
48.0,120.0,116
48.0,125.0,2286
48.0,127.0,715
48.0,128.0,102
48.0,137.0,4417
48.0,140.0,4236
48.0,141.0,7433
48.0,142.0,21143
48.0,143.0,7861
48.0,144.0,3187
48.0,148.0,2886
48.0,151.0,3809
48.0,152.0,792
48.0,158.0,5670
48.0,161.0,29959
48.0,162.0,13522
48.0,163.0,14670
48.0,164.0,12810
48.0,166.0,3180
