pick_up_zone,drop_off_zone,weight
4.0,4.0,2939
4.0,12.0,21
4.0,13.0,355
4.0,24.0,65
4.0,41.0,168
4.0,42.0,132
4.0,43.0,201
4.0,45.0,337
4.0,48.0,1113
4.0,50.0,324
4.0,68.0,1261
4.0,74.0,226
4.0,75.0,411
4.0,79.0,4475
4.0,87.0,899
4.0,88.0,462
4.0,90.0,1278
4.0,100.0,724
4.0,107.0,2948
4.0,113.0,2053
4.0,114.0,2069
4.0,116.0,97
4.0,120.0,5
4.0,125.0,788
4.0,127.0,45
4.0,128.0,3
4.0,137.0,1235
4.0,140.0,541
4.0,141.0,743
4.0,142.0,472
4.0,143.0,169
4.0,144.0,1898
4.0,148.0,2660
4.0,151.0,173
4.0,152.0,42
4.0,158.0,963
4.0,161.0,1016
4.0,162.0,813
4.0,163.0,386
4.0,164.0,1215
4.0,166.0,158
4.0,170.0,1683
4.0,186.0,923
4.0,209.0,321
4.0,211.0,1237
4.0,224.0,780
4.0,229.0,677
4.0,230.0,623
4.0,231.0,1475
4.0,232.0,1117
4.0,233.0,897
4.0,234.0,2395
4.0,236.0,403
4.0,237.0,648
4.0,238.0,286
4.0,239.0,451
4.0,243.0,64
4.0,244.0,98
4.0,246.0,704
4.0,249.0,2303
4.0,261.0,335
4.0,262.0,373
4.0,263.0,547
12.0,4.0,27
12.0,12.0,37
12.0,13.0,273
12.0,24.0,3
12.0,41.0,3
12.0,42.0,8
12.0,43.0,71
12.0,45.0,75
12.0,48.0,144
12.0,50.0,78
12.0,68.0,154
12.0,74.0,4
12.0,75.0,4
12.0,79.0,124
12.0,87.0,194
12.0,88.0,46
12.0,90.0,48
12.0,100.0,114
12.0,107.0,77
12.0,113.0,47
12.0,114.0,71
12.0,116.0,2
12.0,125.0,58
12.0,127.0,2
12.0,137.0,47
12.0,140.0,34
12.0,141.0,20
12.0,142.0,63
12.0,143.0,15
12.0,144.0,138
12.0,148.0,66
12.0,151.0,5
12.0,158.0,111
12.0,161.0,247
12.0,162.0,132
12.0,163.0,91
12.0,164.0,191
12.0,166.0,7
12.0,170.0,115
12.0,186.0,54
12.0,209.0,50
12.0,211.0,108
12.0,224.0,12
12.0,229.0,54
12.0,230.0,220
12.0,231.0,297
12.0,232.0,40
12.0,233.0,93
12.0,234.0,96
12.0,236.0,18
12.0,237.0,87
12.0,238.0,25
12.0,239.0,48
12.0,243.0,6
12.0,244.0,4
12.0,246.0,146
12.0,249.0,93
12.0,261.0,167
12.0,262.0,28
12.0,263.0,17
13.0,4.0,462
13.0,12.0,352
13.0,13.0,3506
13.0,24.0,42
13.0,41.0,84
13.0,42.0,57
13.0,43.0,658
13.0,45.0,845
13.0,48.0,2908
13.0,50.0,928
13.0,68.0,4015
13.0,74.0,70
13.0,75.0,255
13.0,79.0,2107
13.0,87.0,3566
13.0,88.0,1917
13.0,90.0,1686
13.0,100.0,1960
13.0,107.0,1803
13.0,113.0,2133
13.0,114.0,1660
13.0,116.0,40
13.0,120.0,1
13.0,125.0,1609
13.0,127.0,38
13.0,128.0,5
13.0,137.0,1087
13.0,140.0,893
13.0,141.0,932
13.0,142.0,1232
13.0,143.0,490
13.0,144.0,1680
13.0,148.0,1075
13.0,151.0,164
13.0,152.0,30
13.0,158.0,2857
13.0,161.0,4197
13.0,162.0,2655
13.0,163.0,1613
13.0,164.0,2155
13.0,166.0,214
13.0,170.0,2755
13.0,186.0,913
13.0,209.0,547
13.0,211.0,2546
13.0,224.0,402
13.0,229.0,873
13.0,230.0,2686
13.0,231.0,8236
13.0,232.0,669
13.0,233.0,1667
13.0,234.0,3367
13.0,236.0,786
13.0,237.0,1356
13.0,238.0,506
13.0,239.0,868
13.0,243.0,28
13.0,244.0,68
13.0,246.0,2787
13.0,249.0,3292
13.0,261.0,1892
13.0,262.0,416
13.0,263.0,405
24.0,4.0,93
24.0,12.0,10
24.0,13.0,87
24.0,24.0,841
24.0,41.0,1126
24.0,42.0,562
24.0,43.0,1244
24.0,45.0,14
24.0,48.0,1038
24.0,50.0,361
24.0,68.0,568
24.0,74.0,851
24.0,75.0,827
24.0,79.0,269
24.0,87.0,70
24.0,88.0,30
24.0,90.0,206
24.0,100.0,258
24.0,107.0,245
24.0,113.0,174
24.0,114.0,103
24.0,116.0,469
24.0,120.0,8
24.0,125.0,48
24.0,127.0,106
24.0,128.0,21
24.0,137.0,137
24.0,140.0,372
24.0,141.0,533
24.0,142.0,2149
24.0,143.0,824
24.0,144.0,90
24.0,148.0,77
24.0,151.0,1395
24.0,152.0,504
24.0,158.0,178
24.0,161.0,851
24.0,162.0,549
24.0,163.0,639
24.0,164.0,297
24.0,166.0,2327
24.0,170.0,269
24.0,186.0,254
24.0,209.0,10
24.0,211.0,95
24.0,224.0,44
24.0,229.0,224
24.0,230.0,633
24.0,231.0,184
24.0,232.0,38
24.0,233.0,148
24.0,234.0,365
24.0,236.0,1210
24.0,237.0,861
24.0,238.0,3506
24.0,239.0,3191
24.0,243.0,223
24.0,244.0,627
24.0,246.0,288
24.0,249.0,235
24.0,261.0,42
24.0,262.0,321
24.0,263.0,535
41.0,4.0,95
41.0,12.0,5
41.0,13.0,70
41.0,24.0,831
41.0,41.0,3325
41.0,42.0,1472
41.0,43.0,1094
41.0,45.0,29
41.0,48.0,872
41.0,50.0,242
41.0,68.0,517
41.0,74.0,1981
41.0,75.0,1471
41.0,79.0,260
41.0,87.0,90
41.0,88.0,34
41.0,90.0,203
41.0,100.0,290
41.0,107.0,252
41.0,113.0,139
41.0,114.0,156
41.0,116.0,549
41.0,120.0,32
41.0,125.0,54
41.0,127.0,89
41.0,128.0,9
41.0,137.0,216
41.0,140.0,324
41.0,141.0,445
41.0,142.0,1207
41.0,143.0,306
41.0,144.0,105
41.0,148.0,135
41.0,151.0,1523
41.0,152.0,731
41.0,158.0,161
41.0,161.0,850
41.0,162.0,455
41.0,163.0,545
41.0,164.0,351
41.0,166.0,2687
41.0,170.0,323
41.0,186.0,235
41.0,209.0,19
41.0,211.0,102
41.0,224.0,60
41.0,229.0,200
41.0,230.0,575
41.0,231.0,159
41.0,232.0,85
41.0,233.0,187
41.0,234.0,355
41.0,236.0,975
41.0,237.0,696
41.0,238.0,1560
41.0,239.0,1426
41.0,243.0,174
41.0,244.0,410
41.0,246.0,262
41.0,249.0,183
41.0,261.0,39
41.0,262.0,294
41.0,263.0,561
42.0,4.0,28
42.0,12.0,2
42.0,13.0,18
42.0,24.0,103
42.0,41.0,1204
42.0,42.0,2181
42.0,43.0,288
42.0,45.0,5
42.0,48.0,181
42.0,50.0,79
42.0,68.0,103
42.0,74.0,1066
42.0,75.0,462
42.0,79.0,72
42.0,87.0,41
42.0,88.0,27
42.0,90.0,33
42.0,100.0,57
42.0,107.0,64
42.0,113.0,36
42.0,114.0,62
42.0,116.0,371
42.0,120.0,59
42.0,125.0,30
42.0,127.0,46
42.0,128.0,5
42.0,137.0,94
42.0,140.0,96
42.0,141.0,122
42.0,142.0,199
42.0,143.0,53
42.0,144.0,29
42.0,148.0,36
42.0,151.0,189
42.0,152.0,369
42.0,158.0,23
42.0,161.0,195
42.0,162.0,99
42.0,163.0,123
42.0,164.0,101
42.0,166.0,477
42.0,170.0,73
42.0,186.0,63
42.0,209.0,4
42.0,211.0,23
42.0,224.0,11
42.0,229.0,48
42.0,230.0,162
42.0,231.0,46
42.0,232.0,23
42.0,233.0,56
42.0,234.0,91
42.0,236.0,257
42.0,237.0,177
42.0,238.0,236
42.0,239.0,210
42.0,243.0,64
42.0,244.0,249
42.0,246.0,71
42.0,249.0,35
42.0,261.0,11
42.0,262.0,84
42.0,263.0,103
43.0,4.0,260
43.0,12.0,109
43.0,13.0,889
43.0,24.0,832
43.0,41.0,1093
43.0,42.0,528
43.0,43.0,16489
43.0,45.0,230
43.0,48.0,6252
43.0,50.0,1592
43.0,68.0,3108
43.0,74.0,1096
43.0,75.0,2246
43.0,79.0,1793
43.0,87.0,673
43.0,88.0,408
43.0,90.0,1943
43.0,100.0,4767
43.0,107.0,2414
43.0,113.0,2244
43.0,114.0,1558
43.0,116.0,227
43.0,120.0,14
43.0,125.0,615
43.0,127.0,86
43.0,128.0,20
43.0,137.0,1088
43.0,140.0,3555
43.0,141.0,6509
43.0,142.0,13643
43.0,143.0,3239
43.0,144.0,1251
43.0,148.0,638
43.0,151.0,2684
43.0,152.0,195
43.0,158.0,1666
43.0,161.0,17972
43.0,162.0,7223
43.0,163.0,7287
43.0,164.0,5924
43.0,166.0,2166
43.0,170.0,4503
43.0,186.0,4243
43.0,209.0,208
43.0,211.0,1561
43.0,224.0,349
43.0,229.0,3409
43.0,230.0,10032
43.0,231.0,1891
43.0,232.0,273
43.0,233.0,2310
43.0,234.0,4553
43.0,236.0,12875
43.0,237.0,14958
43.0,238.0,7566
43.0,239.0,10288
43.0,243.0,247
43.0,244.0,401
43.0,246.0,2339
43.0,249.0,2371
43.0,261.0,647
43.0,262.0,3296
43.0,263.0,4252
45.0,4.0,451
45.0,12.0,68
45.0,13.0,575
45.0,24.0,17
45.0,41.0,57
45.0,42.0,46
45.0,43.0,173
45.0,45.0,894
45.0,48.0,530
45.0,50.0,135
45.0,68.0,535
45.0,74.0,71
45.0,75.0,131
45.0,79.0,1468
45.0,87.0,1106
45.0,88.0,524
45.0,90.0,378
45.0,100.0,454
45.0,107.0,737
45.0,113.0,568
45.0,114.0,570
45.0,116.0,21
45.0,120.0,9
45.0,125.0,323
45.0,127.0,12
45.0,128.0,2
45.0,137.0,342
45.0,140.0,228
45.0,141.0,233
45.0,142.0,215
45.0,143.0,80
45.0,144.0,813
45.0,148.0,947
45.0,151.0,58
45.0,152.0,11
45.0,158.0,407
45.0,161.0,903
45.0,162.0,535
45.0,163.0,285
45.0,164.0,756
45.0,166.0,57
45.0,170.0,727
45.0,186.0,443
45.0,209.0,450
45.0,211.0,448
45.0,224.0,137
45.0,229.0,240
45.0,230.0,724
45.0,231.0,1528
45.0,232.0,754
45.0,233.0,440
45.0,234.0,712
45.0,236.0,185
45.0,237.0,265
45.0,238.0,122
45.0,239.0,137
45.0,243.0,25
45.0,244.0,35
45.0,246.0,390
45.0,249.0,675
45.0,261.0,774
45.0,262.0,141
45.0,263.0,125
48.0,4.0,1569
48.0,12.0,163
48.0,13.0,3732
48.0,24.0,1578
48.0,41.0,2598
48.0,42.0,1973
48.0,43.0,9089
48.0,45.0,692
48.0,48.0,31615
48.0,50.0,11417
48.0,68.0,25996
48.0,74.0,1763
48.0,75.0,3403
48.0,79.0,8726
48.0,87.0,2739
48.0,88.0,1161
48.0,90.0,10524
48.0,100.0,11981
48.0,107.0,8753
48.0,113.0,5198
48.0,114.0,4249
48.0,116.0,1633
48.0,120.0,122
48.0,125.0,2278
48.0,127.0,832
48.0,128.0,113
48.0,137.0,4563
48.0,140.0,4531
48.0,141.0,7640
48.0,142.0,21568
48.0,143.0,8351
48.0,144.0,3520
48.0,148.0,3035
48.0,151.0,4204
48.0,152.0,966
48.0,158.0,6536
48.0,161.0,30307
48.0,162.0,14199
48.0,163.0,14981
48.0,164.0,13392
48.0,166.0,3506
48.0,170.0,12988
48.0,186.0,11163
48.0,209.0,447
48.0,211.0,3366
48.0,224.0,1524
48.0,229.0,6046
48.0,230.0,18033
48.0,231.0,6534
48.0,232.0,1259
48.0,233.0,6321
48.0,234.0,13132
48.0,236.0,7665
48.0,237.0,11063
48.0,238.0,9460
48.0,239.0,13468
48.0,243.0,1591
48.0,244.0,2520
48.0,246.0,14476
48.0,249.0,11500
48.0,261.0,2195
48.0,262.0,3247
48.0,263.0,4767
50.0,4.0,414
50.0,12.0,48
50.0,13.0,1318
50.0,24.0,458
50.0,41.0,646
50.0,42.0,418
50.0,43.0,1842
50.0,45.0,246
50.0,48.0,9644
50.0,50.0,7604
50.0,68.0,6859
50.0,74.0,449
50.0,75.0,766
50.0,79.0,2197
50.0,87.0,945
50.0,88.0,364
50.0,90.0,2361
50.0,100.0,4365
50.0,107.0,1968
50.0,113.0,1394
50.0,114.0,1009
50.0,116.0,359
50.0,120.0,22
50.0,125.0,753
50.0,127.0,195
50.0,128.0,34
50.0,137.0,927
50.0,140.0,891
50.0,141.0,1697
50.0,142.0,6122
50.0,143.0,2819
50.0,144.0,923
50.0,148.0,888
50.0,151.0,1259
50.0,152.0,296
50.0,158.0,2037
50.0,161.0,7205
50.0,162.0,3274
50.0,163.0,4589
50.0,164.0,3384
50.0,166.0,1344
50.0,170.0,2804
50.0,186.0,2874
50.0,209.0,146
50.0,211.0,1085
50.0,224.0,318
50.0,229.0,1134
50.0,230.0,6719
50.0,231.0,2185
50.0,232.0,335
50.0,233.0,1098
50.0,234.0,3339
50.0,236.0,1575
50.0,237.0,2375
50.0,238.0,2870
50.0,239.0,4272
50.0,243.0,325
50.0,244.0,634
50.0,246.0,5049
50.0,249.0,2673
50.0,261.0,665
50.0,262.0,713
50.0,263.0,965
68.0,4.0,1737
68.0,12.0,128
68.0,13.0,3741
68.0,24.0,566
68.0,41.0,958
68.0,42.0,890
68.0,43.0,3496
68.0,45.0,603
68.0,48.0,19558
68.0,50.0,6282
68.0,68.0,20496
68.0,74.0,695
68.0,75.0,1547
68.0,79.0,9336
68.0,87.0,2903
68.0,88.0,916
68.0,90.0,8907
68.0,100.0,7284
68.0,107.0,8595
68.0,113.0,6925
68.0,114.0,5194
68.0,116.0,597
68.0,120.0,52
68.0,125.0,3491
68.0,127.0,264
68.0,128.0,48
68.0,137.0,3721
68.0,140.0,2169
68.0,141.0,3736
68.0,142.0,6889
68.0,143.0,2679
68.0,144.0,4495
68.0,148.0,3283
68.0,151.0,1477
68.0,152.0,370
68.0,158.0,7484
68.0,161.0,14538
68.0,162.0,6017
68.0,163.0,6517
68.0,164.0,9534
68.0,166.0,1461
68.0,170.0,10264
68.0,186.0,4222
68.0,209.0,443
68.0,211.0,4792
68.0,224.0,1354
68.0,229.0,2923
68.0,230.0,11739
68.0,231.0,7938
68.0,232.0,1239
68.0,233.0,3308
68.0,234.0,14107
68.0,236.0,3689
68.0,237.0,4993
68.0,238.0,3040
68.0,239.0,4408
68.0,243.0,564
68.0,244.0,828
68.0,246.0,13417
68.0,249.0,12783
68.0,261.0,2043
68.0,262.0,1633
68.0,263.0,2293
74.0,4.0,152
74.0,12.0,9
74.0,13.0,63
74.0,24.0,402
74.0,41.0,2328
74.0,42.0,1548
74.0,43.0,881
74.0,45.0,43
74.0,48.0,521
74.0,50.0,176
74.0,68.0,342
74.0,74.0,7765
74.0,75.0,5298
74.0,79.0,338
74.0,87.0,109
74.0,88.0,63
74.0,90.0,182
74.0,100.0,305
74.0,107.0,300
74.0,113.0,110
74.0,114.0,135
74.0,116.0,385
74.0,120.0,58
74.0,125.0,52
74.0,127.0,134
74.0,128.0,15
74.0,137.0,330
74.0,140.0,885
74.0,141.0,1250
74.0,142.0,703
74.0,143.0,197
74.0,144.0,91
74.0,148.0,156
74.0,151.0,822
74.0,152.0,458
74.0,158.0,82
74.0,161.0,724
74.0,162.0,526
74.0,163.0,376
74.0,164.0,274
74.0,166.0,1474
74.0,170.0,270
74.0,186.0,221
74.0,209.0,23
74.0,211.0,65
74.0,224.0,94
74.0,229.0,377
74.0,230.0,392
74.0,231.0,130
74.0,232.0,160
74.0,233.0,252
74.0,234.0,345
74.0,236.0,2309
74.0,237.0,857
74.0,238.0,977
74.0,239.0,971
74.0,243.0,197
74.0,244.0,361
74.0,246.0,159
74.0,249.0,169
74.0,261.0,52
74.0,262.0,1042
74.0,263.0,2645
75.0,4.0,365
75.0,12.0,14
75.0,13.0,291
75.0,24.0,854
75.0,41.0,2356
75.0,42.0,1549
75.0,43.0,2911
75.0,45.0,96
75.0,48.0,1856
75.0,50.0,541
75.0,68.0,1165
75.0,74.0,7073
75.0,75.0,8238
75.0,79.0,1033
75.0,87.0,322
75.0,88.0,250
75.0,90.0,553
75.0,100.0,1452
75.0,107.0,1164
75.0,113.0,528
75.0,114.0,403
75.0,116.0,439
75.0,120.0,61
75.0,125.0,213
75.0,127.0,212
75.0,128.0,30
75.0,137.0,945
75.0,140.0,2573
75.0,141.0,4329
75.0,142.0,2836
75.0,143.0,856
75.0,144.0,297
75.0,148.0,559
75.0,151.0,3068
75.0,152.0,464
75.0,158.0,351
75.0,161.0,3556
75.0,162.0,2523
75.0,163.0,1467
75.0,164.0,1296
75.0,166.0,1975
75.0,170.0,1352
75.0,186.0,1398
75.0,209.0,167
75.0,211.0,245
75.0,224.0,298
75.0,229.0,1390
75.0,230.0,1528
75.0,231.0,521
75.0,232.0,340
75.0,233.0,1030
75.0,234.0,1178
75.0,236.0,9774
75.0,237.0,5654
75.0,238.0,4695
75.0,239.0,3059
75.0,243.0,291
75.0,244.0,651
75.0,246.0,632
75.0,249.0,542
75.0,261.0,94
75.0,262.0,3607
75.0,263.0,6426
79.0,4.0,8834
79.0,12.0,242
79.0,13.0,3170
79.0,24.0,635
79.0,41.0,1104
79.0,42.0,915
79.0,43.0,2080
79.0,45.0,1982
79.0,48.0,9202
79.0,50.0,2476
79.0,68.0,10984
79.0,74.0,1368
79.0,75.0,2395
79.0,79.0,27031
79.0,87.0,6310
79.0,88.0,1964
79.0,90.0,11355
79.0,100.0,5973
79.0,107.0,21463
79.0,113.0,13417
79.0,114.0,12133
79.0,116.0,662
79.0,120.0,50
79.0,125.0,4642
79.0,127.0,283
79.0,128.0,26
79.0,137.0,11823
79.0,140.0,4034
79.0,141.0,7190
79.0,142.0,4706
79.0,143.0,1522
79.0,144.0,11564
79.0,148.0,15240
79.0,151.0,1429
79.0,152.0,324
79.0,158.0,7715
79.0,161.0,9737
79.0,162.0,8062
79.0,163.0,3852
79.0,164.0,11143
79.0,166.0,1369
79.0,170.0,15624
79.0,186.0,9363
79.0,209.0,1763
79.0,211.0,8426
79.0,224.0,4422
79.0,229.0,6789
79.0,230.0,6157
79.0,231.0,11650
79.0,232.0,6561
79.0,233.0,7689
79.0,234.0,17812
79.0,236.0,4156
79.0,237.0,4919
79.0,238.0,2604
79.0,239.0,3763
79.0,243.0,489
79.0,244.0,782
79.0,246.0,5778
79.0,249.0,18495
79.0,261.0,2820
79.0,262.0,3559
79.0,263.0,4770
87.0,4.0,999
87.0,12.0,227
87.0,13.0,2855
87.0,24.0,76
87.0,41.0,140
87.0,42.0,148
87.0,43.0,626
87.0,45.0,1459
87.0,48.0,2085
87.0,50.0,785
87.0,68.0,2536
87.0,74.0,128
87.0,75.0,356
87.0,79.0,4851
87.0,87.0,2203
87.0,88.0,997
87.0,90.0,1438
87.0,100.0,1786
87.0,107.0,2826
87.0,113.0,1948
87.0,114.0,2099
87.0,116.0,90
87.0,120.0,7
87.0,125.0,1227
87.0,127.0,50
87.0,128.0,2
87.0,137.0,1809
87.0,140.0,1123
87.0,141.0,1351
87.0,142.0,897
87.0,143.0,300
87.0,144.0,3437
87.0,148.0,2732
87.0,151.0,157
87.0,152.0,39
87.0,158.0,2410
87.0,161.0,4566
87.0,162.0,3173
87.0,163.0,1358
87.0,164.0,2576
87.0,166.0,177
87.0,170.0,3676
87.0,186.0,1407
87.0,209.0,582
87.0,211.0,2801
87.0,224.0,596
87.0,229.0,1602
87.0,230.0,2035
87.0,231.0,7007
87.0,232.0,1231
87.0,233.0,2349
87.0,234.0,3046
87.0,236.0,921
87.0,237.0,1475
87.0,238.0,436
87.0,239.0,653
87.0,243.0,97
87.0,244.0,88
87.0,246.0,2017
87.0,249.0,2883
87.0,261.0,1843
87.0,262.0,755
87.0,263.0,766
88.0,4.0,529
88.0,12.0,36
88.0,13.0,1111
88.0,24.0,35
88.0,41.0,39
88.0,42.0,51
88.0,43.0,337
88.0,45.0,712
88.0,48.0,874
88.0,50.0,280
88.0,68.0,979
88.0,74.0,74
88.0,75.0,151
88.0,79.0,1374
88.0,87.0,1136
88.0,88.0,839
88.0,90.0,342
88.0,100.0,626
88.0,107.0,931
88.0,113.0,484
88.0,114.0,526
88.0,116.0,25
88.0,120.0,5
88.0,125.0,314
88.0,127.0,9
88.0,128.0,4
88.0,137.0,817
88.0,140.0,569
88.0,141.0,587
88.0,142.0,369
88.0,143.0,161
88.0,144.0,973
88.0,148.0,798
88.0,151.0,90
88.0,152.0,11
88.0,158.0,637
88.0,161.0,1595
88.0,162.0,1049
88.0,163.0,428
88.0,164.0,962
88.0,166.0,51
88.0,170.0,1582
88.0,186.0,386
88.0,209.0,533
88.0,211.0,686
88.0,224.0,345
88.0,229.0,658
88.0,230.0,848
88.0,231.0,1891
88.0,232.0,612
88.0,233.0,996
88.0,234.0,863
88.0,236.0,394
88.0,237.0,640
88.0,238.0,170
88.0,239.0,282
88.0,243.0,41
88.0,244.0,37
88.0,246.0,778
88.0,249.0,684
88.0,261.0,1020
88.0,262.0,319
88.0,263.0,309
90.0,4.0,1984
90.0,12.0,60
90.0,13.0,3250
90.0,24.0,424
90.0,41.0,769
90.0,42.0,668
90.0,43.0,2279
90.0,45.0,519
90.0,48.0,13740
90.0,50.0,3462
90.0,68.0,16697
90.0,74.0,604
90.0,75.0,985
90.0,79.0,10911
90.0,87.0,2216
90.0,88.0,567
90.0,90.0,8717
90.0,100.0,7602
90.0,107.0,11806
90.0,113.0,8243
90.0,114.0,5922
90.0,116.0,511
90.0,120.0,37
90.0,125.0,3814
90.0,127.0,232
90.0,128.0,26
90.0,137.0,4406
90.0,140.0,1700
90.0,141.0,2906
90.0,142.0,4526
90.0,143.0,1622
90.0,144.0,4035
90.0,148.0,3166
90.0,151.0,950
90.0,152.0,309
90.0,158.0,7529
90.0,161.0,13244
90.0,162.0,4532
90.0,163.0,4781
90.0,164.0,10806
90.0,166.0,819
90.0,170.0,9702
90.0,186.0,5942
90.0,209.0,430
90.0,211.0,5014
90.0,224.0,1863
90.0,229.0,2378
90.0,230.0,7253
90.0,231.0,8268
90.0,232.0,1248
90.0,233.0,2886
90.0,234.0,13079
90.0,236.0,2907
90.0,237.0,4436
90.0,238.0,2209
90.0,239.0,3005
90.0,243.0,441
90.0,244.0,786
90.0,246.0,12679
90.0,249.0,15071
90.0,261.0,1555
90.0,262.0,1277
90.0,263.0,1650
100.0,4.0,955
100.0,12.0,102
100.0,13.0,2283
100.0,24.0,416
100.0,41.0,756
100.0,42.0,734
100.0,43.0,4916
100.0,45.0,458
100.0,48.0,11800
100.0,50.0,5002
100.0,68.0,7117
100.0,74.0,804
100.0,75.0,1698
100.0,79.0,4912
100.0,87.0,1811
100.0,88.0,796
100.0,90.0,6310
100.0,100.0,7439
100.0,107.0,6907
100.0,113.0,3671
100.0,114.0,2647
100.0,116.0,439
100.0,120.0,53
100.0,125.0,1743
100.0,127.0,246
100.0,128.0,30
100.0,137.0,4352
100.0,140.0,3148
100.0,141.0,4716
100.0,142.0,6226
100.0,143.0,2233
100.0,144.0,2358
100.0,148.0,1640
100.0,151.0,1119
100.0,152.0,285
100.0,158.0,2701
100.0,161.0,24549
100.0,162.0,8739
100.0,163.0,9141
100.0,164.0,9111
100.0,166.0,953
100.0,170.0,11789
100.0,186.0,6058
100.0,209.0,360
100.0,211.0,2843
100.0,224.0,982
100.0,229.0,3987
100.0,230.0,11730
100.0,231.0,4261
100.0,232.0,820
100.0,233.0,5876
100.0,234.0,10725
100.0,236.0,4282
100.0,237.0,6633
100.0,238.0,2491
100.0,239.0,3567
100.0,243.0,415
100.0,244.0,657
100.0,246.0,8677
100.0,249.0,5338
100.0,261.0,1782
100.0,262.0,1881
100.0,263.0,2555
107.0,4.0,5136
107.0,12.0,158
107.0,13.0,3148
107.0,24.0,358
107.0,41.0,733
107.0,42.0,614
107.0,43.0,2415
107.0,45.0,952
107.0,48.0,8275
107.0,50.0,2246
107.0,68.0,11098
107.0,74.0,1057
107.0,75.0,2076
107.0,79.0,22165
107.0,87.0,4352
107.0,88.0,1708
107.0,90.0,10130
107.0,100.0,8245
107.0,107.0,19271
107.0,113.0,11331
107.0,114.0,9266
107.0,116.0,331
107.0,120.0,40
107.0,125.0,3262
107.0,127.0,166
107.0,128.0,30
107.0,137.0,12608
107.0,140.0,4503
107.0,141.0,8525
107.0,142.0,4837
107.0,143.0,1395
107.0,144.0,6711
107.0,148.0,7653
107.0,151.0,1005
107.0,152.0,202
107.0,158.0,5247
107.0,161.0,17219
107.0,162.0,13947
107.0,163.0,5620
107.0,164.0,13916
107.0,166.0,998
107.0,170.0,24988
107.0,186.0,12133
107.0,209.0,1169
107.0,211.0,5412
107.0,224.0,4145
107.0,229.0,8317
107.0,230.0,6893
107.0,231.0,8175
107.0,232.0,3264
107.0,233.0,11261
107.0,234.0,16140
107.0,236.0,5947
107.0,237.0,8355
107.0,238.0,2248
107.0,239.0,3241
107.0,243.0,346
107.0,244.0,468
107.0,246.0,5906
107.0,249.0,12149
107.0,261.0,1599
107.0,262.0,3756
107.0,263.0,4837
113.0,4.0,4208
113.0,12.0,120
113.0,13.0,3329
113.0,24.0,280
113.0,41.0,367
113.0,42.0,345
113.0,43.0,2012
113.0,45.0,807
113.0,48.0,5647
113.0,50.0,1780
113.0,68.0,8666
113.0,74.0,440
113.0,75.0,818
113.0,79.0,15450
113.0,87.0,3056
113.0,88.0,789
113.0,90.0,9332
113.0,100.0,4881
113.0,107.0,11507
113.0,113.0,9004
113.0,114.0,8196
113.0,116.0,238
113.0,120.0,22
113.0,125.0,4101
113.0,127.0,116
113.0,128.0,22
113.0,137.0,4822
113.0,140.0,1855
113.0,141.0,2958
113.0,142.0,3721
113.0,143.0,1079
113.0,144.0,6918
113.0,148.0,5532
113.0,151.0,696
113.0,152.0,148
113.0,158.0,7467
113.0,161.0,12064
113.0,162.0,5304
113.0,163.0,3885
113.0,164.0,8910
113.0,166.0,822
113.0,170.0,9292
113.0,186.0,6918
113.0,209.0,685
113.0,211.0,7709
113.0,224.0,2068
113.0,229.0,2797
113.0,230.0,5531
113.0,231.0,9875
113.0,232.0,2285
113.0,233.0,3362
113.0,234.0,12684
113.0,236.0,3192
113.0,237.0,4772
113.0,238.0,1729
113.0,239.0,2307
113.0,243.0,265
113.0,244.0,363
113.0,246.0,5953
113.0,249.0,11684
113.0,261.0,2030
113.0,262.0,1431
113.0,263.0,1723
114.0,4.0,3261
114.0,12.0,89
114.0,13.0,2330
114.0,24.0,231
114.0,41.0,472
114.0,42.0,364
114.0,43.0,1417
114.0,45.0,715
114.0,48.0,4564
114.0,50.0,1313
114.0,68.0,5606
114.0,74.0,423
114.0,75.0,805
114.0,79.0,13622
114.0,87.0,2802
114.0,88.0,660
114.0,90.0,6325
114.0,100.0,3106
114.0,107.0,9433
114.0,113.0,7246
114.0,114.0,5151
114.0,116.0,249
114.0,120.0,27
114.0,125.0,2252
114.0,127.0,98
114.0,128.0,17
114.0,137.0,3413
114.0,140.0,1513
114.0,141.0,2634
114.0,142.0,2498
114.0,143.0,903
114.0,144.0,4527
114.0,148.0,5380
114.0,151.0,602
114.0,152.0,136
114.0,158.0,5748
114.0,161.0,7814
114.0,162.0,4166
114.0,163.0,2655
114.0,164.0,6418
114.0,166.0,716
114.0,170.0,7057
114.0,186.0,4654
114.0,209.0,696
114.0,211.0,3289
114.0,224.0,1482
114.0,229.0,2199
114.0,230.0,4400
114.0,231.0,7381
114.0,232.0,2104
114.0,233.0,2509
114.0,234.0,9865
114.0,236.0,2163
114.0,237.0,3096
114.0,238.0,1290
114.0,239.0,1786
114.0,243.0,236
114.0,244.0,366
114.0,246.0,3738
114.0,249.0,8405
114.0,261.0,1905
114.0,262.0,1247
114.0,263.0,1638
116.0,4.0,21
116.0,12.0,10
116.0,13.0,30
116.0,24.0,149
116.0,41.0,495
116.0,42.0,588
116.0,43.0,147
116.0,45.0,8
116.0,48.0,412
116.0,50.0,159
116.0,68.0,233
116.0,74.0,438
116.0,75.0,205
116.0,79.0,95
116.0,87.0,29
116.0,88.0,23
